participant_id	stim_no	question_no	numberofanswers	answers	correct_answers	score
sub-03	4	2	1	4	1	0
sub-03	4	3	1	4	1	0
sub-03	4	4	1	1	1	1
sub-03	4	5	1	3	1	0
sub-03	4	6	1	4	1	0
sub-03	4	7	2	1  3	1  2	0.5
sub-03	4	8	1	1	1	1
sub-03	4	9	1	3	1	0
sub-03	4	10	1	4	1	0
sub-03	4	11	1	2	1	0
sub-03	4	12	1	3	1	0
sub-03	5	1	3	4  1	1  2  3	0.333333333333333
sub-03	5	2	1	1	1	1
sub-03	5	3	1	2	1	0
sub-03	5	4	1	2	1	0
sub-03	5	5	1	4	1	0
sub-03	5	6	1	4	1	0
sub-03	5	7	2	1  3	1  2	0.5
sub-03	5	8	1	4	1	0
sub-03	5	9	1	2	1	0
sub-03	5	10	1	2	1	0
sub-03	5	11	2	2  1	1  2	1
sub-03	5	12	2	2  4	1  2	0.5
sub-03	6	1	1	3	1	0
sub-03	6	2	3	2  3	1  2  3	0.666666666666667
sub-03	6	3	1	3	1	0
sub-03	6	4	1	4	1	0
sub-03	6	5	1	1	1	1
sub-03	6	6	1	2	1	0
sub-03	6	7	2	4  3	1  2	0
sub-03	6	8	1	3	1	0
sub-03	6	9	1	2	1	0
sub-03	6	10	1	4	1	0
sub-03	6	11	2	1  4	1  2	0.5
sub-03	6	12	2	3  2	1  2	0.5
sub-04	1	1	1	4	1	0
sub-04	1	2	1	3	1	0
sub-04	1	3	3	1  2  3	1  2  3	1
sub-04	1	4	1	1	1	1
sub-04	1	5	1	1	1	1
sub-04	1	6	1	1	1	1
sub-04	1	7	1	2	1	0
sub-04	1	8	1	1	1	1
sub-04	1	9	2	4  3  1  2	1  2	1
sub-04	1	10	1	1	1	1
sub-04	1	11	3	3  1  4	1  2  3	0.666666666666667
sub-04	1	12	4	2  3  4	1  2  3  4	0.75
sub-04	2	1	1	2	1	0
sub-04	2	2	3	2  3  1	1  2  3	1
sub-04	2	3	1	2	1	0
sub-04	2	4	1	1	1	1
sub-04	2	5	1	3	1	0
sub-04	2	6	1	2	1	0
sub-04	2	7	1	1	1	1
sub-04	2	8	2	4  3  2	1  2	0.5
sub-04	2	9	1	4	1	0
sub-04	2	10	1	2	1	0
sub-04	2	11	1	1	1	1
sub-04	2	12	3	2  1  3	1  2  3	1
sub-04	3	1	1	1	1	1
sub-04	3	2	3	4  2  1  3	1  2  3	1
